round,global_test_acc,global_test_loss,global_test_ce_loss,global_test_reg_loss,num_clients,aggregation_time,inference_time_sec,training_time_sec,f1_macro,f1_micro,precision_macro,recall_macro
0,82.6,0.4843803172111511,0.4807047265370687,0.0036755920089781282,3,0.0,14.972807927000076,4113.210078254,0.8205675016808907,0.826,0.870919881305638,0.8260000000000001
1,95.06666666666666,0.11803644295533498,0.11516041674216589,0.002876025961091121,3,0.0,14.34719528900041,4060.6242713270003,0.9505463073685111,0.9506666666666667,0.9550970873786409,0.9506666666666667
2,97.13333333333334,0.07329319360852242,0.07129120535651842,0.0020019879651566345,3,0.0,15.19419582899991,4056.493490943001,0.9713097563286452,0.9713333333333334,0.9728877679697352,0.9713333333333334
3,99.86666666666666,0.008635968749721844,0.007245976255896191,0.0013899925320098798,3,0.0,13.678169024000454,4056.3851366120007,0.998666664296292,0.9986666666666667,0.9986702127659575,0.9986666666666666
4,100.0,0.00293242866701136,0.0020103856089214484,0.0009220430276667078,3,0.0,13.65646149099939,4024.2514536770004,1.0,1.0,1.0,1.0
5,100.0,0.005173647954439123,0.004508537416346371,0.0006651105509760479,3,0.0,13.577762300001268,4019.165566255999,1.0,1.0,1.0,1.0
6,99.93333333333334,0.004554875305543343,0.004052346299557637,0.0005025289713715514,3,0.0,13.557246677999501,4048.2987541719976,0.9993333330370369,0.9993333333333333,0.9993342210386151,0.9993333333333334
7,100.0,0.0009709859589735667,0.000544759372365661,0.0004262265850945065,3,0.0,13.631942594000066,4036.8201097870005,1.0,1.0,1.0,1.0
8,100.0,0.004289249907713384,0.003978790130776663,0.00031045977693671984,3,0.0,13.462543719999303,4021.963282945,1.0,1.0,1.0,1.0
9,99.93333333333334,0.004168007123594482,0.0038973453327392537,0.0002706617497994254,3,0.0,13.745099434001531,4031.8740826990015,0.9993333330370369,0.9993333333333333,0.9993342210386151,0.9993333333333334
