round,client_id,train_loss,train_acc,train_ce_loss,train_reg_loss,num_samples,train_time_sec,class_distribution
0,0,0.025845401390145222,99.2,,,2832,1365.3810031290002,{}
0,1,0.05002180755014221,98.66666666666667,,,2834,1369.887537811,{}
0,2,0.005124117763092121,99.93333333333332,,,2834,1377.941537314,{}
1,0,0.0984454965988795,96.73333333333333,,,2832,1347.4903195699999,{}
1,1,0.007772750373929739,99.8,,,2834,1348.2027401809999,{}
1,2,0.020696184476216635,99.53333333333333,,,2834,1364.9312115760001,{}
2,0,0.004933921410391728,100.0,,,2834,1347.7220187350003,{}
2,1,0.006784073477610945,99.93333333333332,,,2834,1347.1523260980002,{}
2,2,0.0053752774385114515,100.0,,,2832,1361.6191461100002,{}
3,0,0.013563366160417596,99.6,,,2834,1346.7480619050002,{}
3,1,0.006774170440932115,99.86666666666667,,,2834,1349.6010727940002,{}
3,2,0.01602411997814973,99.66666666666667,,,2832,1360.0360019130003,{}
4,0,0.004343677036464214,99.86666666666667,,,2834,1333.090930282,{}
4,1,0.008281690927843253,99.8,,,2834,1338.523197222,{}
4,2,0.0011828160962710779,100.0,,,2832,1352.6373261730005,{}
5,0,0.00477658544232448,99.93333333333332,,,2834,1337.012237975,{}
5,1,0.005050569937253992,99.73333333333333,,,2834,1337.2093406119993,{}
5,2,0.0014052341429827114,100.0,,,2832,1344.9439876689994,{}
6,0,0.004347301756963134,99.93333333333332,,,2834,1341.7033605709985,{}
6,1,0.004929101210708419,99.86666666666667,,,2832,1350.1664398920002,{}
6,2,0.0019535318260701993,99.93333333333332,,,2834,1356.428953708999,{}
7,0,0.030205896735191345,98.93333333333332,,,2834,1341.9688695679997,{}
7,1,0.0010017927611867586,100.0,,,2832,1342.5669220290001,{}
7,2,0.0015076372943197687,100.0,,,2834,1352.2843181900007,{}
8,0,0.0007681199829094111,100.0,,,2834,1333.5511446210003,{}
8,1,0.000543411704323565,100.0,,,2832,1337.5524789789997,{}
8,2,0.0019077424538942675,100.0,,,2834,1350.8596593450002,{}
9,0,0.008743277529875438,99.8,,,2834,1337.5266421600008,{}
9,1,0.01783363111813863,99.6,,,2832,1340.318529581,{}
9,2,0.0009542104014350722,100.0,,,2834,1354.0289109580008,{}
