round,client_id,train_loss,train_acc,train_ce_loss,train_reg_loss,num_samples,train_time_sec,class_distribution
0,0,0.09644070680356688,96.26666666666667,,,3189,3272.710645759,{}
0,1,0.24237845195581514,93.02222222222221,,,3186,3260.718838572,{}
0,2,0.29122372731897567,87.95555555555555,,,3189,3301.06189251,{}
0,3,0.06375060937139723,97.95555555555555,,,3186,3339.126589705,{}
1,0,0.15100909729964204,94.44444444444444,,,3186,3226.897603919,{}
1,1,0.08246391043563683,97.15555555555555,,,3189,3261.80043465,{}
1,2,0.12080476343300607,95.82222222222222,,,3186,3267.922668522,{}
1,3,0.20675697894891104,92.57777777777778,,,3189,3292.175054534,{}
2,0,0.036574970071514445,98.8,,,3186,3262.030643098,{}
2,1,0.06154677481535408,98.04444444444445,,,3189,3263.1963931789996,{}
2,2,0.36280341373384,85.02222222222223,,,3189,3306.495813236,{}
2,3,0.21598705210619504,92.13333333333334,,,3186,3343.1593127319993,{}
3,0,0.04118376006765498,98.4,,,3189,3285.1162463910005,{}
3,1,0.1929861306415664,91.68888888888888,,,3189,3277.4194160919997,{}
3,2,0.047585657462477685,98.57777777777777,,,3186,3302.612121211001,{}
3,3,0.041155826654699114,98.62222222222222,,,3186,3329.9988665710007,{}
4,0,0.03404872248549428,98.57777777777777,,,3189,3280.3497566849983,{}
4,1,0.05203839426197939,98.13333333333333,,,3189,3283.043842209001,{}
4,2,0.03603434324305919,98.71111111111112,,,3186,3308.123091846999,{}
4,3,0.22332252631088098,93.42222222222222,,,3186,3309.8135557840014,{}
5,0,0.024699261295712656,99.11111111111111,,,3189,3256.716540317,{}
5,1,0.07057790158440669,97.86666666666667,,,3189,3267.0779875949993,{}
5,2,0.0945300830350154,96.88888888888889,,,3186,3282.8634422739997,{}
5,3,0.06147846745699644,97.64444444444445,,,3186,3301.9842204590022,{}
6,0,0.1775549926476346,95.91111111111111,,,3186,3256.913019941003,{}
6,1,0.05170910795177851,98.0,,,3189,3264.036905732002,{}
6,2,0.18043302654205925,94.08888888888889,,,3186,3282.510199969998,{}
6,3,0.2700852787494659,92.17777777777778,,,3189,3315.4000728719984,{}
7,0,0.06664028793242242,97.64444444444445,,,3189,3284.695651809001,{}
7,1,0.15370809510350228,95.02222222222223,,,3189,3305.9691796260013,{}
7,2,0.02961868952007757,98.93333333333332,,,3186,3304.842340616,{}
7,3,0.14905575122042664,94.66666666666667,,,3186,3324.981590345,{}
8,0,0.5136623073948754,87.2,,,3189,3285.955139744001,{}
8,1,0.07349729980197217,96.97777777777777,,,3189,3281.5284643529994,{}
8,2,0.019690870091319083,99.2,,,3186,3307.3292701089995,{}
8,3,0.04580806615369187,98.53333333333333,,,3186,3310.5227661319987,{}
9,0,0.09271084913114706,96.62222222222222,,,3186,3275.7010061399997,{}
9,1,0.03555154439993203,98.57777777777777,,,3189,3283.1016226100037,{}
9,2,0.07248598395101725,97.42222222222222,,,3186,3304.683667068999,{}
9,3,0.193260843967398,92.31111111111112,,,3189,3319.064210944998,{}
