round,global_test_acc,global_test_loss,global_test_ce_loss,global_test_reg_loss,num_clients,aggregation_time,inference_time_sec,training_time_sec,f1_macro,f1_micro,precision_macro,recall_macro
0,33.333333333333336,nan,nan,0.0036899017724725935,4,0.0,20.846366816999762,9507.682344068,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.3333333333333333
1,33.333333333333336,nan,nan,0.00324835358104772,4,0.0,21.123619412999687,9506.888605212,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.3333333333333333
2,33.333333333333336,nan,nan,nan,4,0.0,20.02612867500011,9372.176639362999,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.3333333333333333
3,33.333333333333336,nan,nan,0.002070980936702755,4,0.0,20.013559836999775,9286.413122063997,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.3333333333333333
4,33.333333333333336,nan,nan,0.0016575090556095044,4,0.0,19.688244923998354,9361.858155581001,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.3333333333333333
5,33.333333333333336,nan,nan,nan,4,0.0,20.1681175979993,9326.294527105001,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.3333333333333333
6,33.333333333333336,nan,nan,nan,4,0.0,19.3097511699998,9371.059785746,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.3333333333333333
7,33.333333333333336,nan,nan,nan,4,0.0,20.498731507999764,9389.451372009,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.3333333333333333
8,33.333333333333336,nan,nan,nan,4,0.0,20.57889530399916,9303.338943732,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.3333333333333333
9,33.333333333333336,nan,nan,nan,4,0.0,19.23570776300039,9310.517061680006,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.3333333333333333
