round,client_id,train_loss,train_acc,train_ce_loss,train_reg_loss,num_samples,train_time_sec,class_distribution
0,0,2.399253632321241,61.61026837806302,,,1215,1390.525574637,{}
0,1,0.41213222461792803,85.53092182030339,,,1213,1359.785437779,{}
0,2,0.20771572086851406,92.29871645274213,,,1215,1352.4213412970003,{}
0,3,0.24361744267450886,92.06534422403733,,,1212,1372.584784025,{}
1,0,0.9351706254527477,80.28004667444574,,,1215,726.9327897459998,{}
1,1,0.8448429912363495,76.19603267211203,,,1212,731.776630971,{}
1,2,0.25328771896060454,91.71528588098016,,,1213,732.5914490130003,{}
1,3,0.3639910551898677,88.91481913652275,,,1215,749.1827939959999,{}
2,0,0.36646126434989407,86.46441073512253,,,1212,741.1673690620005,{}
2,1,0.3819562873804166,88.68144690781797,,,1215,743.7222475120002,{}
2,2,1.1674230318677328,66.1610268378063,,,1213,755.922042317,{}
2,3,0.5018164272547255,86.69778296382731,,,1215,756.6303519370003,{}
3,0,0.5838703472806247,83.78063010501751,,,1212,746.4664227579997,{}
3,1,0.3042920616084803,91.2485414235706,,,1215,748.4814734350002,{}
3,2,1.1297857381638179,76.89614935822637,,,1213,750.0218878229998,{}
3,3,0.702685269949873,84.59743290548425,,,1215,751.0715643470003,{}
4,0,0.31107124752313975,91.36522753792299,,,1215,735.1445541049998,{}
4,1,1.1286797467162757,78.41306884480747,,,1213,750.2400142059996,{}
4,2,0.23947535170287831,92.99883313885647,,,1215,749.878417934,{}
4,3,0.6384808371058701,81.79696616102684,,,1212,753.4823674810004,{}
5,0,0.17397680108369162,93.9323220536756,,,1212,740.7354621300001,{}
5,1,0.19352735942414373,94.28238039673279,,,1213,747.9412748960003,{}
5,2,0.5155256102720108,86.69778296382731,,,1215,747.2364004230003,{}
5,3,0.1431655360770476,95.68261376896149,,,1215,752.4953595790003,{}
6,0,0.19650381317529544,92.88214702450408,,,1215,743.2099006349999,{}
6,1,0.3042635925661864,91.36522753792299,,,1212,750.5502582469999,{}
6,2,0.26591533346616747,93.34889148191365,,,1213,750.1305754540008,{}
6,3,0.29618039035076404,92.06534422403733,,,1215,756.4806139469993,{}
7,0,0.31355703141335983,91.0151691948658,,,1215,744.9054245709995,{}
7,1,0.5279748688431298,86.58109684947492,,,1213,752.3021702080005,{}
7,2,0.6470786605330234,86.46441073512253,,,1215,752.6873028090004,{}
7,3,0.33694697101029936,91.36522753792299,,,1212,756.6706099960002,{}
8,0,0.11829565843630283,96.38273045507584,,,1215,747.2183567350003,{}
8,1,0.2014168145498011,93.58226371061843,,,1212,751.2853660170003,{}
8,2,0.5238375565169712,88.3313885647608,,,1215,753.1182537179993,{}
8,3,0.10936397928885828,96.8494749124854,,,1213,758.8556767650007,{}
9,0,0.8524323178144431,77.71295215869311,,,1212,731.1992669980009,{}
9,1,0.2690444900942238,92.99883313885647,,,1215,736.6657751429993,{}
9,2,0.2651758828964367,92.6487747957993,,,1213,736.6452332059998,{}
9,3,0.17599256573160166,94.63243873978998,,,1215,742.6027419680013,{}
