round,global_test_acc,global_test_loss,global_test_ce_loss,global_test_reg_loss,num_clients,aggregation_time,inference_time_sec,training_time_sec,f1_macro,f1_micro,precision_macro,recall_macro
0,51.22520420070012,1.1951459861831042,1.1921379402053816,0.0030080513839035043,5,0.0,12.616616278000038,5705.2004078400005,0.44988661993870327,0.5122520420070011,0.5738808227465215,0.5105280621111508
1,89.03150525087514,0.3640799982127676,0.36089721923670104,0.00318277847617343,5,0.0,5.178005251000286,3390.5203585169993,0.891054807640788,0.8903150525087514,0.9045021333446742,0.8913196152952764
2,92.6487747957993,0.2437171780242386,0.2406565118559322,0.0030606655928859423,5,0.0,5.100262344999919,3382.4482083919997,0.9262359340361912,0.926487747957993,0.9285958759585807,0.9275942513101492
3,95.44924154025671,0.12436547089485471,0.12133863055372182,0.0030268410252257227,5,0.0,5.046246034999967,3371.581263614,0.9533496382888456,0.9544924154025671,0.9535327500756874,0.9541828144060791
4,95.5659276546091,0.10802888251241197,0.10508465053146333,0.0029442310257181263,5,0.0,5.162822437000614,3388.3634715979997,0.9542225835944017,0.9556592765460911,0.955604609184981,0.9536078860998084
5,95.68261376896149,0.11410140612161562,0.11129359799668698,0.002807808223277191,5,0.0,5.014351064999573,3376.049362113,0.9560347706080337,0.9568261376896149,0.9576372617199478,0.9555404625709233
6,97.31621936989498,0.08373755300058923,0.0812219733083262,0.002515579411344844,5,0.0,5.0987568000000465,3372.8902274149996,0.9722345594994712,0.9731621936989499,0.9720587267833682,0.9725054484538217
7,96.26604434072345,0.09216103772333929,0.08979694462243289,0.0023640932704353554,5,0.0,5.292167008999968,3375.1142677880007,0.9618327669058313,0.9626604434072346,0.9624665884550193,0.9617015309729449
8,97.89964994165695,0.06983467694828363,0.06749517808352079,0.0023394986191631892,5,0.0,5.243824803999814,3378.9872107009987,0.9784903307091779,0.9789964994165694,0.9787290697293696,0.978429812168923
9,96.73278879813303,0.07756039812778369,0.07540921772131425,0.0021511801169933086,5,0.0,5.048271457000737,3379.425416007999,0.9665117997924894,0.9673278879813302,0.9671112377334671,0.9665919703697229
