round,global_test_acc,global_test_loss,global_test_ce_loss,global_test_reg_loss,num_clients,aggregation_time,inference_time_sec,training_time_sec,f1_macro,f1_micro,precision_macro,recall_macro
0,67.32788798133022,0.9003969392670773,0.8974019321009882,0.0029950052539979913,3,0.0,12.913121161000163,5170.080712168,0.60457728463808,0.6732788798133023,0.8243265993265994,0.6792250793428347
1,95.33255542590432,0.17390936487892267,0.17064688484268123,0.0032624793594840007,3,0.0,5.093175177000376,2274.6204068919997,0.9527399907765732,0.9533255542590432,0.9531824600791008,0.9536089835200403
2,95.68261376896149,0.12123963342003673,0.11797732706839173,0.0032623050046504377,3,0.0,5.143723125000179,2272.0047772700004,0.9551461725781913,0.9568261376896149,0.9554318447892981,0.9555915120541978
3,96.73278879813303,0.0874536248878114,0.08457824213119482,0.002875383245370752,3,0.0,5.172914433000187,2277.0024952110007,0.9673630507350542,0.9673278879813302,0.9666935318750354,0.9688116777713929
4,97.43290548424737,0.07336472300432248,0.0706904344282427,0.0026742881878475846,3,0.0,5.166258936999839,2277.6336107409998,0.9733827059001987,0.9743290548424738,0.9735306068629983,0.9733214700478029
5,98.13302217036173,0.06267357124026555,0.060216377588160674,0.0024571936483013517,3,0.0,5.113016606999736,2277.450010641999,0.9811152856719795,0.9813302217036173,0.9816043593139937,0.9809550646941756
6,97.43290548424737,0.0695624540998984,0.0674443942795713,0.0021180598604000557,3,0.0,5.128793872000642,2282.097609171,0.973855290897321,0.9743290548424738,0.9738994771431544,0.9740479557605881
7,98.36639439906651,0.05491467610071114,0.052816387893775504,0.002098288226224995,3,0.0,5.032444596001369,2275.7624056700006,0.9834058551910467,0.9836639439906651,0.9842967738280572,0.9831803326463915
8,98.5997666277713,0.04948707971756663,0.04753988740510386,0.001947192060342765,3,0.0,5.0895617679998395,2267.47091636,0.9857187164441574,0.9859976662777129,0.9862990612944529,0.9854512936774225
9,97.78296382730456,0.05896916746432473,0.0572378074526439,0.0017313605735171911,3,0.0,5.249484448000658,2277.584719556002,0.9774390932513648,0.9778296382730455,0.9769710513936538,0.9782192025365166
