round,client_id,train_loss,train_acc,train_ce_loss,train_reg_loss,num_samples,train_time_sec,class_distribution
0,0,0.5343391441130443,84.71411901983664,,,1617,1721.2593897449997,{}
0,1,0.28308477939531435,90.78179696616102,,,1620,1726.155710801,{}
0,2,0.35016297569874427,88.3313885647608,,,1618,1722.665611622,{}
1,0,0.9781307256068761,75.84597432905484,,,1618,750.579909654,{}
1,1,0.22160577101148274,92.99883313885647,,,1617,755.3274647479998,{}
1,2,0.31301712735078996,89.49824970828472,,,1620,768.7130324899999,{}
2,0,0.1642142101652842,93.34889148191365,,,1618,750.2789916460001,{}
2,1,0.4617416687318436,82.2637106184364,,,1617,753.8007541239999,{}
2,2,0.3040599331277115,88.91481913652275,,,1620,767.9250315000004,{}
3,0,0.16220167324451193,95.56592765460911,,,1618,755.118863318,{}
3,1,0.3390224391340236,88.44807467911319,,,1617,760.6902653160005,{}
3,2,0.24982355047308577,91.94865810968494,,,1620,761.1933665770002,{}
4,0,0.6502769852672186,82.49708284714119,,,1620,753.712841089,{}
4,1,0.12255942998856062,96.26604434072345,,,1618,758.7435301639998,{}
4,2,0.9512536833138838,75.72928821470245,,,1617,765.1772394879999,{}
5,0,0.3524281403425833,87.28121353558926,,,1617,744.772050343,{}
5,1,0.23946479261530043,92.18203033838974,,,1620,757.3932631579992,{}
5,2,0.37974793657816974,87.74795799299883,,,1618,775.2846971409999,{}
6,0,0.13580245197758234,95.33255542590432,,,1618,746.1596081569996,{}
6,1,0.4903749207180328,84.13068844807468,,,1620,754.7092213300002,{}
6,2,0.20246212130527652,93.81563593932322,,,1617,781.2287796840001,{}
7,0,0.19286759034268636,93.58226371061843,,,1620,750.6304062960007,{}
7,1,0.20937084293594996,93.34889148191365,,,1618,749.7169452040007,{}
7,2,0.21664670270040648,93.9323220536756,,,1617,775.4150541699992,{}
8,0,0.14223411682745402,95.56592765460911,,,1618,750.9175735120007,{}
8,1,0.3930938942499172,88.3313885647608,,,1620,749.6458599939997,{}
8,2,0.11452257379730826,95.56592765460911,,,1617,766.9074828539997,{}
9,0,0.18073225835101328,94.28238039673279,,,1618,745.5724027220003,{}
9,1,0.35532182881928104,91.83197199533255,,,1620,756.852559799001,{}
9,2,0.3334690383532223,91.94865810968494,,,1617,775.1597570350004,{}
